id,name,videoType,hdUrl,sdUrl,hlsUrl,thumbnail
6518779,"DB tornado twists",awss3,https://video.trainerize.com/videos/18576547/794d0ba5-3db9-4eaa-8432-6fd8995f59f3/HD.mp4,https://video.trainerize.com/videos/18576547/794d0ba5-3db9-4eaa-8432-6fd8995f59f3/SD.mp4,https://video.trainerize.com/videos/18576547/794d0ba5-3db9-4eaa-8432-6fd8995f59f3/HLS.m3u8,https://video.trainerize.com/videos/18576547/794d0ba5-3db9-4eaa-8432-6fd8995f59f3/HD-00001.jpg
5504069,"DB tricep kick backs",awss3,https://video.trainerize.com/videos/10629366/f64b9db1-be57-43f4-b7bf-a23ee667bcf5/HD.mp4,https://video.trainerize.com/videos/10629366/f64b9db1-be57-43f4-b7bf-a23ee667bcf5/SD.mp4,https://video.trainerize.com/videos/10629366/f64b9db1-be57-43f4-b7bf-a23ee667bcf5/HLS.m3u8,https://video.trainerize.com/videos/10629366/f64b9db1-be57-43f4-b7bf-a23ee667bcf5/HD-00001.jpg
5504100,"DB WIDE ROW",awss3,https://video.trainerize.com/videos/10629822/6d2969d5-08c9-4ac1-ae9c-4c809a377184/HD.mp4,https://video.trainerize.com/videos/10629822/6d2969d5-08c9-4ac1-ae9c-4c809a377184/SD.mp4,https://video.trainerize.com/videos/10629822/6d2969d5-08c9-4ac1-ae9c-4c809a377184/HLS.m3u8,https://video.trainerize.com/videos/10629822/6d2969d5-08c9-4ac1-ae9c-4c809a377184/HD-00001.jpg
6518745,"DB WIDE sumo squat with pulse",awss3,https://video.trainerize.com/videos/18576374/02c848c5-2571-4f55-866d-d2b6fa8ffb03/HD.mp4,https://video.trainerize.com/videos/18576374/02c848c5-2571-4f55-866d-d2b6fa8ffb03/SD.mp4,https://video.trainerize.com/videos/18576374/02c848c5-2571-4f55-866d-d2b6fa8ffb03/HLS.m3u8,https://video.trainerize.com/videos/18576374/02c848c5-2571-4f55-866d-d2b6fa8ffb03/HD-00001.jpg
6393720,"DB windmills",awss3,https://video.trainerize.com/videos/17398098/ab28eaa7-c653-4a5b-9304-0702c9d1fcc5/HD.mp4,https://video.trainerize.com/videos/17398098/ab28eaa7-c653-4a5b-9304-0702c9d1fcc5/SD.mp4,https://video.trainerize.com/videos/17398098/ab28eaa7-c653-4a5b-9304-0702c9d1fcc5/HLS.m3u8,https://video.trainerize.com/videos/17398098/ab28eaa7-c653-4a5b-9304-0702c9d1fcc5/HD-00001.jpg
5395001,"Decline narrow leg press",awss3,https://video.trainerize.com/videos/9662525/f19bdab1-c77d-4449-8b80-f9dc437ace2e/HD.mp4,https://video.trainerize.com/videos/9662525/f19bdab1-c77d-4449-8b80-f9dc437ace2e/SD.mp4,https://video.trainerize.com/videos/9662525/f19bdab1-c77d-4449-8b80-f9dc437ace2e/HLS.m3u8,https://video.trainerize.com/videos/9662525/f19bdab1-c77d-4449-8b80-f9dc437ace2e/HD-00001.jpg
5395004,"Decline SL leg press",awss3,https://video.trainerize.com/videos/9662540/91b87b7a-c727-4dcd-9779-5f2aa0d4db2b/HD.mp4,https://video.trainerize.com/videos/9662540/91b87b7a-c727-4dcd-9779-5f2aa0d4db2b/SD.mp4,https://video.trainerize.com/videos/9662540/91b87b7a-c727-4dcd-9779-5f2aa0d4db2b/HLS.m3u8,https://video.trainerize.com/videos/9662540/91b87b7a-c727-4dcd-9779-5f2aa0d4db2b/HD-00001.jpg
5395094,"Decline SL press+calf raise",awss3,https://video.trainerize.com/videos/9663001/1729e597-1a03-46b0-a2bf-7a7a1c6ac3bc/HD.mp4,https://video.trainerize.com/videos/9663001/1729e597-1a03-46b0-a2bf-7a7a1c6ac3bc/SD.mp4,https://video.trainerize.com/videos/9663001/1729e597-1a03-46b0-a2bf-7a7a1c6ac3bc/HLS.m3u8,https://video.trainerize.com/videos/9663001/1729e597-1a03-46b0-a2bf-7a7a1c6ac3bc/HD-00001.jpg
5504102,"Dips on bench",awss3,https://video.trainerize.com/videos/10629891/b50900c0-5a34-4eed-af3e-9e5469e2e6b0/HD.mp4,https://video.trainerize.com/videos/10629891/b50900c0-5a34-4eed-af3e-9e5469e2e6b0/SD.mp4,https://video.trainerize.com/videos/10629891/b50900c0-5a34-4eed-af3e-9e5469e2e6b0/HLS.m3u8,https://video.trainerize.com/videos/10629891/b50900c0-5a34-4eed-af3e-9e5469e2e6b0/HD-00001.jpg
6394085,"Downward dog shoulder taps",awss3,https://video.trainerize.com/videos/17401352/820bb6fa-7540-44af-830d-c2e34b6fc7a6/HD.mp4,https://video.trainerize.com/videos/17401352/820bb6fa-7540-44af-830d-c2e34b6fc7a6/SD.mp4,https://video.trainerize.com/videos/17401352/820bb6fa-7540-44af-830d-c2e34b6fc7a6/HLS.m3u8,https://video.trainerize.com/videos/17401352/820bb6fa-7540-44af-830d-c2e34b6fc7a6/HD-00001.jpg
5510985,"Dual tricep DB kickback",awss3,https://video.trainerize.com/videos/10683027/e919cae2-99d6-4210-bf54-f4b4708c9a5a/HD.mp4,https://video.trainerize.com/videos/10683027/e919cae2-99d6-4210-bf54-f4b4708c9a5a/SD.mp4,https://video.trainerize.com/videos/10683027/e919cae2-99d6-4210-bf54-f4b4708c9a5a/HLS.m3u8,https://video.trainerize.com/videos/10683027/e919cae2-99d6-4210-bf54-f4b4708c9a5a/HD-00001.jpg
7230956,"Duck stance DB row into RDL",awss3,https://video.trainerize.com/videos/26194219/4b6424b4-3cbe-433a-beae-4d7246876400/HD.mp4,https://video.trainerize.com/videos/26194219/4b6424b4-3cbe-433a-beae-4d7246876400/SD.mp4,https://video.trainerize.com/videos/26194219/4b6424b4-3cbe-433a-beae-4d7246876400/HLS.m3u8,https://video.trainerize.com/videos/26194219/4b6424b4-3cbe-433a-beae-4d7246876400/HD-00001.jpg
7230957,"Elevated heel DB RDL",awss3,https://video.trainerize.com/videos/26194253/fd41c349-9fe0-4528-a7b3-68b6431f5da2/HD.mp4,https://video.trainerize.com/videos/26194253/fd41c349-9fe0-4528-a7b3-68b6431f5da2/SD.mp4,https://video.trainerize.com/videos/26194253/fd41c349-9fe0-4528-a7b3-68b6431f5da2/HLS.m3u8,https://video.trainerize.com/videos/26194253/fd41c349-9fe0-4528-a7b3-68b6431f5da2/HD-00001.jpg
5504058,"Elevated heel reverse cable curls",awss3,https://video.trainerize.com/videos/10629339/c0a4fbdc-6c80-452d-b111-1d168a03d15c/HD.mp4,https://video.trainerize.com/videos/10629339/c0a4fbdc-6c80-452d-b111-1d168a03d15c/SD.mp4,https://video.trainerize.com/videos/10629339/c0a4fbdc-6c80-452d-b111-1d168a03d15c/HLS.m3u8,https://video.trainerize.com/videos/10629339/c0a4fbdc-6c80-452d-b111-1d168a03d15c/HD-00001.jpg
5504055,"Elevated heel reverse cable squat",awss3,https://video.trainerize.com/videos/10629325/acb925b1-f05d-4bd6-8d80-a448b9135399/HD.mp4,https://video.trainerize.com/videos/10629325/acb925b1-f05d-4bd6-8d80-a448b9135399/SD.mp4,https://video.trainerize.com/videos/10629325/acb925b1-f05d-4bd6-8d80-a448b9135399/HLS.m3u8,https://video.trainerize.com/videos/10629325/acb925b1-f05d-4bd6-8d80-a448b9135399/HD-00001.jpg
5504405,"Floor leg ext",awss3,https://video.trainerize.com/videos/10632115/93980573-be6b-4dc4-9485-a1c7e039f21e/HD.mp4,https://video.trainerize.com/videos/10632115/93980573-be6b-4dc4-9485-a1c7e039f21e/SD.mp4,https://video.trainerize.com/videos/10632115/93980573-be6b-4dc4-9485-a1c7e039f21e/HLS.m3u8,https://video.trainerize.com/videos/10632115/93980573-be6b-4dc4-9485-a1c7e039f21e/HD-00001.jpg
5486151,"Front loaded KB walking lunge with hold",awss3,https://video.trainerize.com/videos/10457657/92673af0-d0f4-440d-ab6c-4d8f4d6e8855/HD.mp4,https://video.trainerize.com/videos/10457657/92673af0-d0f4-440d-ab6c-4d8f4d6e8855/SD.mp4,https://video.trainerize.com/videos/10457657/92673af0-d0f4-440d-ab6c-4d8f4d6e8855/HLS.m3u8,https://video.trainerize.com/videos/10457657/92673af0-d0f4-440d-ab6c-4d8f4d6e8855/HD-00001.jpg
7230858,"Frontal raise into lateral raise and reverse",awss3,https://video.trainerize.com/videos/26193786/c3d3e7b9-803e-46fa-ab0e-011274f52e82/HD.mp4,https://video.trainerize.com/videos/26193786/c3d3e7b9-803e-46fa-ab0e-011274f52e82/SD.mp4,https://video.trainerize.com/videos/26193786/c3d3e7b9-803e-46fa-ab0e-011274f52e82/HLS.m3u8,https://video.trainerize.com/videos/26193786/c3d3e7b9-803e-46fa-ab0e-011274f52e82/HD-00001.jpg
5504003,"Glute kickback pulse",awss3,https://video.trainerize.com/videos/10628969/9770a061-e768-46a1-a784-4c477ecec3bc/HD.mp4,https://video.trainerize.com/videos/10628969/9770a061-e768-46a1-a784-4c477ecec3bc/SD.mp4,https://video.trainerize.com/videos/10628969/9770a061-e768-46a1-a784-4c477ecec3bc/HLS.m3u8,https://video.trainerize.com/videos/10628969/9770a061-e768-46a1-a784-4c477ecec3bc/HD-00001.jpg
6393959,"Glute lifts abs",awss3,https://video.trainerize.com/videos/17400199/518a9f52-bcd4-4b6a-a3c6-c9f69307d4a1/HD.mp4,https://video.trainerize.com/videos/17400199/518a9f52-bcd4-4b6a-a3c6-c9f69307d4a1/SD.mp4,https://video.trainerize.com/videos/17400199/518a9f52-bcd4-4b6a-a3c6-c9f69307d4a1/HLS.m3u8,https://video.trainerize.com/videos/17400199/518a9f52-bcd4-4b6a-a3c6-c9f69307d4a1/HD-00001.jpg
